Track,Race#,Distance,Box,Dog Name,HistoricalPaceAvg,NumPaces,MostRecentPace,Best3RacePace,Last5PaceValues,RecentWins,RecentRaces,WinRate%,Last5Results,StartingPrice,PaceScore(0-1),FormScore(0-1),WeightedScore(0-1)
Gosford,10,388,8,GRAND BLAZER,-12.7463,5.0,-15.7027,-8.3663,-15.7|-10.96|-8.37|-16.23|-12.47,0,5,0.0,76356,2.66,0.4645,0.0,0.3251
Bulli,9,340,7,STEAL A MARCH,-16.194,5.0,-6.7141,-6.7141,-6.71|-24.34|-9.65|-27.86|-12.41,1,5,20.0,W7373,2.02,0.3783,0.2,0.3248
Angle Park,9,342,5,LALA BUFFY,-12.7876,5.0,-14.8522,-14.5777,-14.85|-15.12|-14.58|-15.34|-4.06,0,5,0.0,34483,2.86,0.4635,0.0,0.3244
Mandurah,4,300,5,CATHY'S GIRL,-12.8126,5.0,-11.0073,-11.0073,-11.01|-16.29|-11.71|-15.01|-10.05,0,5,0.0,75844,4.8,0.4628,0.0,0.324
Angle Park,8,342,8,RUSSO,-12.8566,5.0,-18.6408,-10.8617,-18.64|-14.62|-10.86|-13.43|-6.73,0,5,0.0,54454,4.8,0.4617,0.0,0.3232
Bulli,10,340,2,SUNNY SUE,-12.8989,5.0,-13.4134,-11.5863,-13.41|-11.59|-12.46|-10.64|-16.4,0,5,0.0,58826,2.22,0.4607,0.0,0.3225
Angle Park,7,342,2,BELLA MAPLE,-16.4061,5.0,-17.0485,-15.3522,-17.05|-21.76|-15.35|-15.16|-12.71,1,5,20.0,653W2,4.7,0.373,0.2,0.3211
Mandurah,9,400,4,TRUNKEY FRANK,-13.0306,5.0,-6.7874,-6.7874,-6.79|-14.32|-9.83|-14.76|-19.45,0,5,0.0,25475,4.8,0.4574,0.0,0.3202
Gosford,10,388,1,ARMATREE FREDDO,-13.1496,5.0,-22.4036,-8.7006,-22.4|-8.7|-9.02|-11.11|-14.51,0,5,0.0,63537,4.2,0.4544,0.0,0.3181
Bulli,3,472,5,WHERE'S MASON,-13.4461,5.0,-17.1437,-9.0204,-17.14|-9.02|-14.92|-15.06|-11.09,0,5,0.0,53333,4.8,0.447,0.0,0.3129
Angle Park,6,342,4,HAYRIDE WARNER,-13.5945,5.0,-9.2461,-9.2461,-9.25|-9.4|-18.85|-21.19|-9.28,0,5,0.0,22652,2.06,0.4433,0.0,0.3103
Q1 Lakeside,1,457,4,ZAWADI,-13.9208,5.0,-14.7646,-13.091,-14.76|-13.09|-16.65|-13.33|-11.76,0,5,0.0,63853,3.65,0.4351,0.0,0.3046
Geelong,1,460,2,LET'S CAUSE KAOS,-14.2158,5.0,-18.7613,-9.72,-18.76|-9.72|-13.25|-15.79|-13.56,0,5,0.0,84533,2.38,0.4277,0.0,0.2994
Angle Park,4,342,7,ROAD LESS TRAVEL,-14.4276,5.0,-23.5318,-8.7041,-23.53|-8.7|-16.25|-17.29|-6.36,0,5,0.0,52654,4.8,0.4225,0.0,0.2957
